sku;title;url;short_desc;price;thumb
2399981;"Laptop Asus X509 Intel Core 10th Gen i3-1005G1 256GB SSD 4GB nVidia GeForce MX110 2GB FullHD Grey";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-asus-x509-intel-core-10th-gen-i3-1005g1-256gb-ssd-4gb-nvidia-geforce-mx110-2gb-fullhd-grey-pMyE6PTwmNw-l;"Model Procesor: Intel Core (10th Gen) i3-1005G1Capacitate HDD: 256GBChipset video: NVIDIA GeForce MX1102 in 1: NuTip Laptop: Home";1799;https://s.cel.ro/images/Products/laptop-asus-x509-intel-core-10th-gen-i3-1005g1-256gb-ssd-8gb-nvidia-geforce-mx110-2gb-fullhd-grey.jpg
2488213;"Laptop Dell Inspiron 3593 Intel Core 10th Gen i3-1005G1 256GB SSD 8GB FullHD Linux Black";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-dell-inspiron-3593-intel-core-10th-gen-i3-1005g1-256gb-ssd-8gb-fullhd-linux-black-pMyY7PDcvNQ-l;"Model Procesor: i3-1005G1Capacitate HDD: 256GB2 in 1: NuTip Laptop: Home";1949;https://s.cel.ro/images/Products/laptop-dell-inspiron-3593-intel-core-ice-lake-10th-gen-i5-1035g1-1tb-4gb-geforce-mx230-2gb-fullhd-ub.jpg
2454161;"Laptop Gaming HP Pavilion 15-dk0002nq Intel Core 9th Gen i5-9300H 256GB SSD 8GB Nvidia GeForce GTX 1050 3GB FullHD Black";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-gaming-hp-pavilion-15-dk0002nq-intel-core-9th-gen-i5-9300h-256gb-ssd-8gb-nvidia-geforce-gtx-1050-3gb-fullhd-black-pMyY2MDQoNw-l;;3199;https://s.cel.ro/images/Products/2020/05/04/Laptop-Gaming-HP-Pavilion-15-dk0002nq-cu-procesor-Intel-Core-i5-9300H-pana-la-4-10-GHz-15-6-Full-HD-IPS-8GB-256GB-SSD-Nvidia-GeForce-GTX.jpg
2367289;"Laptop ASUS X509 Intel Core 10th Gen i3-1005G1 512GB SSD 8GB FullHD Gray";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-asus-x509-intel-core-10th-gen-i3-1005g1-512gb-ssd-8gb-fullhd-gray-pMyE1MzcmPw-l;"Model Procesor: Intel® Core™ i3-1005G1Capacitate HDD: 512GB2 in 1: NuTip Laptop: Home";2099;https://s.cel.ro/images/Products/laptop-asus-x509-intel-core-10th-gen-i5-1035g1-512gb-ssd-8gb-fullhd-gray.jpg
2366823;"Laptop Asus X509 Intel Core 10th Gen i5-1035G1 512GB SSD 8GB nVidia GeForce MX110 2GB FullHD Grey";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-asus-x509-intel-core-10th-gen-i5-1035g1-512gb-ssd-8gb-nvidia-geforce-mx110-2gb-fullhd-grey-pMyE1Mj0sNQ-l;"Model Procesor: Intel Core (10th Gen) i5-1035G1Capacitate HDD: 512GBChipset video: NVIDIA GeForce MX1102 in 1: NuTip Laptop: Home";2699;https://s.cel.ro/images/Products/laptop-asus-x509-intel-core-10th-gen-i5-1035g1-512gb-ssd-8gb-nvidia-geforce-mx110-2gb-fullhd-grey-645.jpg
1638581;"Laptop Gaming ASUS ROG Strix G Intel Core 9th Gen i7-9750H 512GB SSD 8GB nVidia GeForce GTX 1650 4GB FullHD Black";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-gaming-asus-rog-strix-g-intel-core-9th-gen-i7-9750h-512gb-ssd-8gb-nvidia-geforce-gtx-1650-4gb-fullhd-black-pMCQwPDAmNw-l;"Model Procesor: Intel® Core™ i7-9750HCapacitate HDD: 512GBChipset video: NVIDIA GeForce GTX 16502 in 1: NuTip Laptop: Gaming";4399;https://s.cel.ro/images/Products/laptop-gaming-asus-rog-strix-hero-iii-intel-core-coffee-lake-i7-9750h-512gb-ssd-8gb-nvidia-geforce-r.jpg
2481241;"Laptop Gaming HP Pavilion 17-cd0014nq Intel Core 9th Gen i7-9750H 512GB SSD 16GB Nvidia GeForce GTX 1650 4GB FullHD Black";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-gaming-hp-pavilion-17-cd0014nq-intel-core-9th-gen-i7-9750h-512gb-ssd-16gb-nvidia-geforce-gtx-1650-4gb-fullhd-black-pMyY7NTcqNw-l;"Model Procesor: Intel Core (9th Gen) i7-9750HCapacitate HDD: 512GBChipset video: Nvidia GeForce GTX 1650 4GB2 in 1: NuTip Laptop: Gaming";4699;https://s.cel.ro/images/Products/laptop-gaming-hp-pavilion-17-cd0014nq-intel-core-9th-gen-i7-9750h-512gb-ssd-16gb-nvidia-geforce-gt-7f9.jpg
2344934;"Laptop Acer Aspire 3 Intel Core 10th Gen i5-10210U 512GB SSD 8GB Nvidia GeForce MX230 2GB FullHD Win10 Charcoal Black";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-acer-aspire-3-intel-core-10th-gen-i5-10210u-512gb-ssd-8gb-nvidia-geforce-mx230-2gb-fullhd-win10-charcoal-black-pMyE3MDwtMg-l;"Model Procesor: Intel Core i5-10210UCapacitate HDD: 512GBChipset video: nVidia GeForce MX230 2G2 in 1: NuTip Laptop: Home";2799;https://s.cel.ro/images/Products/laptop-acer-aspire-3-intel-core-10th-gen-i5-10210u-512gb-ssd-4gb-fullhd-linux-black.jpg
2455679;"Laptop Acer Aspire 3 A315-42G AMD Ryzen 5 3500U 256GB 8GB AMD Radeon 540X 2GB FullHD Linux Black";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopurilaptop-acer-aspire-3-a315-42g-amd-ryzen-5-3500u-256gb-8gb-amd-radeon-540x-2gb-fullhd-linux-black-pMyY2MTMpPw-l;"Model Procesor: AMD Ryzen 5 3500UCapacitate HDD: 256GBChipset video: AMD Radeon 540X2 in 1: NuTip Laptop: Home";2199;https://s.cel.ro/images/Products/laptop-acer-aspire-3-a315-42g-amd-ryzen-5-3500u-256gb-8gb-amd-radeon-540x-2gb-fullhd-linux-black.jpg
1800799;"Ultrabook ASUS VivoBook 15 AMD Ryzen 5 3500U 512GB SSD 8GB Radeon Vega 8 FullHD Peacock Blue";https://www.cel.ro/laptop-laptopuri/httpswww.cel.rolaptop-laptopuriultrabook-asus-vivobook-15-amd-ryzen-5-3500u-512gb-ssd-8gb-radeon-vega-8-fullhd-peacock-blue-pMCozNDInPw-l;"Model Procesor: AMD Ryzen 5-3500UCapacitate HDD: 512GBChipset video: Radeon™ Vega 8 Graphics2 in 1: NuTip Laptop: Ultrabook";2199;https://s.cel.ro/images/Products/ultrabook-asus-vivobook-15-amd-ryzen-5-3500u-512gb-ssd-8gb-fullhd-peacock-blue.jpg
